date,open,high,low,close,volume,Name,SMA,WMA,Momentum,RSI,WilliamK,MACD,CCI,acc_dist,AD-:21,Arronup,AroonDown,AroonOscillator,ATR,Pivot_Point,Resistance_1,Resistance_2,Resistance_3,Support_1,Support_2,Support_3,SO%k,On_Balance_Volume,Price_Volume_Trend,y
6/5/2014,92.3142,92.767,91.8013,92.4785,75951141,AAPL,89.96822,0.546299607,-5.7257,114.2655536,-3.156973245,2.573730855,104.462888,30570786.48,14928725.74,96,28,68,0.9657,92.34893333,92.89656667,93.31463333,93.86226667,91.93086667,91.38323333,90.96516667,0.701252977,958223735,186876045.3,1
6/6/2014,92.8428,93.037,92.0671,92.2242,87620911,AAPL,90.51536,0.547943545,-4.4914,121.077239,-8.638996652,2.827971137,91.80310931,-59236036.03,11557599.6,96,24,72,0.9699,92.44276667,92.81843333,93.41266667,93.78833333,91.84853333,91.47286667,90.87863333,0.161975461,870602824,186635102.9,-1
6/9/2014,92.7,93.88,91.75,93.7,75414804,AAPL,91.11208,0.549888817,-4.3244,119.7418862,-2.105952827,3.138167218,90.2439797,62668639.94,13880829.11,96,20,76,2.13,93.11,94.47,95.24,96.6,92.34,90.98,90.21,0.915492958,946017628,187841913.7,1
6/10/2014,94.73,95.05,93.57,94.25,62777042,AAPL,91.59952,0.551174986,-5.1058,118.4041511,-8.66598061,3.497870753,99.10122695,-5090030.432,13018517.17,96,16,80,1.48,94.29,95.01,95.77,96.49,93.53,92.81,92.05,0.459459459,1008794670,188210402.2,1
6/11/2014,94.13,94.76,93.47,93.86,45681114,AAPL,92.0711,0.552344004,-3.0915,125.3588979,-13.16153293,3.833142298,81.08109662,-18059975.3,11605858.2,96,12,84,1.29,94.03,94.59,95.32,95.88,93.3,92.74,92.01,0.302325581,963113556,188021376.9,-1
6/12/2014,94.04,94.12,91.9,92.29,54748791,AAPL,92.22325,0.551590643,-1.8615,161.5310988,-31.54249666,3.877653743,50.37162289,-35512729.3,9464103.906,92,8,84,2.22,92.77,93.64,94.99,95.86,91.42,90.55,89.2,0.175675676,908364765,187105591.7,-1
6/13/2014,92.2,92.44,90.88,91.28,54525280,AAPL,92.3084,0.550428206,-1.4729,224.5235679,-44.81959222,3.928906482,24.14893122,-26563597.95,7826480.862,88,4,84,1.56,91.53333333,92.18666667,93.09333333,93.74666667,90.62666667,89.97333333,89.06666667,0.256410256,853839485,186508879.9,-1
6/16/2014,91.51,92.75,91.45,92.2,35561270,AAPL,92.54769,0.550188942,-1.1229,256.3907379,-40.12445621,3.751445058,28.21406678,5470964.615,7719411.928,84,0,84,1.47,92.13333333,92.81666667,93.43333333,94.11666667,91.51666667,90.83333333,90.21666667,0.576923077,889400755,186867297.6,1
6/17/2014,92.31,92.7,91.8,92.08,29726347,AAPL,92.64798,0.549134504,0.0371,246.6618979,-48.51752022,3.599040695,25.114265,-11229953.31,6858077.033,80,16,64,0.9,92.19333333,92.58666667,93.09333333,93.48666667,91.68666667,91.29333333,90.78666667,0.311111111,859674408,186828608.2,-1
6/18/2014,92.27,92.29,91.35,92.18,33514108,AAPL,92.65427,0.547539942,0.2985,405.0442791,-46.88393368,3.60968135,16.91340657,25670380.6,7713181.846,76,12,64,0.94,91.94,92.53,92.88,93.47,91.59,91,90.65,0.882978723,893188516,186865005,1
6/19/2014,92.29,92.3,91.3389,91.86,35527686,AAPL,92.59242,0.545554176,0.3642,399.3852602,-52.1114106,3.457029453,11.13908615,2997914.197,7498851.473,72,8,64,0.9611,91.83296667,92.32703333,92.79406667,93.28813333,91.36593333,90.87186667,90.40483333,0.542191239,857660830,186741671.7,-1
6/20/2014,91.85,92.55,90.9,90.91,100898066,AAPL,92.461,0.543162656,2.79,518.3788195,-67.63048272,3.134708854,-0.322304241,-99675059.14,2627309.535,68,4,64,1.65,91.45333333,92.00666667,93.10333333,93.65666667,90.35666667,89.80333333,88.70666667,0.006060606,756762764,185698201.6,-1
6/23/2014,91.32,91.62,90.6,90.83,43694391,AAPL,92.174,0.539889502,3.42,-1799.757183,-79.62113922,2.699271147,-13.77551231,-23989077.41,1417473.635,64,0,64,1.02,91.01666667,91.43333333,92.03666667,92.45333333,90.41333333,89.99666667,89.39333333,0.225490196,713068373,185659750.9,-1
6/24/2014,90.75,91.74,90.19,90.28,39036087,AAPL,91.777,0.535998854,3.58,-185.4662239,-98.14814815,2.343011142,-23.69984089,-34502863.99,-215269.1516,60,0,60,1.55,90.73666667,91.28333333,92.28666667,92.83333333,89.73333333,89.18666667,88.18333333,0.058064516,674032286,185423377,-1
6/25/2014,90.21,90.7,89.65,90.36,36868541,AAPL,91.427,0.532408267,1.93,-147.5477932,-86.85185185,1.82317105,-40.3583972,12991771.59,385050.9407,56,0,56,1.05,90.23666667,90.82333333,91.28666667,91.87333333,89.77333333,89.18666667,88.72333333,0.676190476,710900827,185456047.3,1
6/26/2014,90.37,91.05,89.8,90.9,32629359,AAPL,91.288,0.530059132,0.38,-276.8312944,-76.85185185,1.203259766,-34.74372442,24798312.84,1494744.767,52,0,52,1.25,90.58333333,91.36666667,91.83333333,92.61666667,90.11666667,89.33333333,88.86666667,0.88,743530186,185651043.5,1
6/27/2014,90.82,92,90.77,91.98,64028803,AAPL,91.358,0.52893484,0.22,-190.1162791,-56.85185185,0.636882248,-7.924968557,61946565.5,4242555.045,48,0,48,1.23,91.58333333,92.39666667,92.81333333,93.62666667,91.16666667,90.35333333,89.93666667,0.983739837,807558989,186411781.8,1
6/30/2014,92.1,93.725,92.09,92.93,49589028,AAPL,91.431,0.527848761,-0.85,-278.030303,-39.25925926,0.290226637,35.60011833,1364835.633,4111749.606,44,0,44,1.745,92.915,93.74,94.55,95.375,92.105,91.28,90.47,0.513761468,857148017,186923953.7,1
7/2/2014,93.865,94.06,93.09,93.48,28465073,AAPL,91.705,0.526432115,-1.62,357.9831933,-14.31767338,-0.01972706,75.18644534,-5575632.856,3210721.118,36,12,24,0.97,93.54333333,93.99666667,94.51333333,94.96666667,93.02666667,92.57333333,92.05666667,0.402061856,866906421,187154454.4,-1
7/8/2014,96.27,96.8,93.92,95.35,65221678,AAPL,92.8798,0.528668754,-5.07,178.2262997,-20.27972028,-0.210701872,165.5835668,-452928.3194,5965533.952,96,0,96,2.88,95.35666667,96.79333333,98.23666667,99.67333333,93.91333333,92.47666667,91.03333333,0.496527778,881044435,188032965.3,-1
1/2/2015,111.39,111.44,107.35,109.33,53204626,AAPL,112.205,0.471981277,3.32,-394.9781659,-34.49587825,-2.35176074,-69.00204931,-1691100.582,-4406504,0,56,-56,4.09,109.3733333,111.3966667,113.4633333,115.4866667,107.3066667,105.2833333,103.2166667,0.484107579,1029645146,192360639.4,-1
1/5/2015,108.29,108.65,105.41,106.25,64285491,AAPL,111.565,0.468282532,5.53,-259.9137931,-54.02663285,-1.530038236,-125.9982066,-30952273.44,-5613129.884,4,52,-48,3.92,106.77,108.13,110.01,111.37,104.89,103.53,101.65,0.259259259,965359655,190549614.9,-1
1/6/2015,106.54,107.43,104.63,106.26,65797116,AAPL,111.013,0.46496946,6.68,-460.8142494,-53.96322131,-0.946018956,-131.1916732,10809526.2,-4866645.516,0,96,-96,2.8,106.1066667,107.5833333,108.9066667,110.3833333,104.7833333,103.3066667,101.9833333,0.582142857,1031156771,190555807.5,1
1/7/2015,107.2,108.2,106.695,107.75,40105934,AAPL,110.494,0.461824555,4.79,1049.253731,-44.51490171,-0.765004222,-89.18490683,16122318.98,-3912601.675,0,96,-96,1.94,107.5483333,108.4016667,109.0533333,109.9066667,106.8966667,106.0433333,105.3916667,0.700996678,1071262705,191118181.3,1
1/8/2015,109.23,112.15,108.7,111.89,59364547,AAPL,110.429,0.460605477,0.12,484.6774194,-18.26252378,-0.606244552,4.885202066,50416847.16,-1443081.273,8,92,-84,4.4,110.9133333,113.1266667,114.3633333,116.5766667,109.6766667,107.4633333,106.2266667,0.924637681,1130627252,193399102.2,1
1/9/2015,112.67,113.25,110.21,112.01,53699527,AAPL,110.429,0.459660493,1.98,-1390.625,-17.50158529,-0.633583319,40.87367841,9892018.132,-927849.4818,4,88,-84,3.04,111.8233333,113.4366667,114.8633333,116.4766667,110.3966667,108.7833333,107.3566667,0.592105263,1184326779,193456694,1
1/12/2015,112.6,112.63,108.8,109.25,49650790,AAPL,109.955,0.456748997,4.66,-351.7786561,-35.00317058,-0.60448992,-14.24475773,-37983502.53,-2612197.348,0,84,-84,3.83,110.2266667,111.6533333,114.0566667,115.4833333,107.8233333,106.3966667,103.9933333,0.117493473,1134675989,192233265.9,-1
1/13/2015,111.43,112.8,108.91,110.22,67091928,AAPL,109.586,0.454292261,2.3,-320.2205882,-28.85225111,-0.516632715,1.135412036,-21904048.47,-3489099.672,0,80,-80,3.89,110.6433333,112.3766667,114.5333333,116.2666667,108.4866667,106.7533333,104.5966667,0.336760925,1201767917,192828956.3,1
1/14/2015,109.04,110.49,108.5,109.8,48956588,AAPL,109.314,0.45224188,0.58,-317.8832117,-31.51553583,-0.76119772,-44.00896324,15006793.31,-2648377.264,8,76,-68,1.99,109.5966667,110.6933333,111.5866667,112.6833333,108.7033333,107.6066667,106.7133333,0.653266332,1152811329,192642404.2,-1
1/15/2015,110,110.06,106.66,106.82,60013996,AAPL,108.958,0.449833942,2.51,-167.822736,-50.41217502,-1.273363418,-114.6027364,-54365619.91,-4999161.021,4,72,-68,3.4,107.8466667,109.0333333,111.2466667,112.4333333,105.6333333,104.4466667,102.2333333,0.047058824,1092797333,191013609,-1
1/16/2015,107.03,107.58,105.2,105.99,78513345,AAPL,108.624,0.447521522,0.26,-84.125,-55.67533291,-1.55794173,-160.6282569,-26391040.34,-5971519.171,0,68,-68,2.38,106.2566667,107.3133333,108.6366667,109.6933333,104.9333333,103.8766667,102.5533333,0.331932773,1014283988,190403554,-1
1/20/2015,107.84,108.9667,106.5,108.72,49899907,AAPL,108.871,0.447606277,-2.46,-182.2736031,-38.36398224,-1.646701498,-74.72642482,39918711.83,-3885599.58,44,64,-20,2.9767,108.0622333,109.6244667,110.5289333,112.0911667,107.1577667,105.5955333,104.6910667,0.899987838,1064183895,191688833.3,1
1/21/2015,108.95,111.06,108.27,109.55,48575897,AAPL,109.2,0.448028287,-1.8,-346.4646465,-29.28954424,-1.600093523,-18.79477175,-4004464.627,-3891002.537,40,60,-20,2.79,109.6266667,110.9833333,112.4166667,113.7733333,108.1933333,106.8366667,105.4033333,0.458781362,1112759792,192059675.7,1
1/22/2015,110.26,112.47,109.72,112.4,53796409,AAPL,109.665,0.449020364,-0.51,650.4950495,-5.964912281,-1.158772857,43.48522036,51057682.72,-1393335.025,36,56,-20,2.92,111.53,113.34,114.28,116.09,110.59,108.78,107.84,0.974545455,1166556201,193459217.2,1
1/23/2015,112.3,113.75,111.53,112.98,46464828,AAPL,109.774,0.448571009,-0.97,375.890411,-5.220338983,-0.752605989,81.40656069,14232469.84,-683071.167,32,52,-20,2.22,112.7533333,113.9766667,114.9733333,116.1966667,111.7566667,110.5333333,109.5366667,0.653153153,1213021029,193698982.3,1
1/26/2015,113.74,114.3626,112.8,113.1,55614979,AAPL,109.883,0.448123486,-3.85,202.0437956,-8.218660904,-0.601295015,100.6100011,-34260193.77,-2209304.013,28,48,-20,1.5626,113.4208667,114.0417333,114.9834667,115.6043333,112.4791333,111.8582667,110.9165333,0.191987713,1268636008,193758052.9,1
1/27/2015,112.42,112.48,109.03,109.14,95568749,AAPL,109.872,0.447161058,1.08,480.2083333,-33.99554763,-0.94695741,5.630198412,-89474509.93,-6175904.282,24,44,-20,4.07,110.2166667,111.4033333,113.6666667,114.8533333,107.9533333,106.7666667,104.5033333,0.031884058,1173067259,190411879.2,-1
1/28/2015,117.625,118.12,115.31,115.31,146477063,AAPL,110.381,0.448341895,-5.51,244.8412698,-14.69665272,-0.976149564,243.3666951,-146477063,-12553229.68,20,40,-20,8.98,116.2466667,117.1833333,119.0566667,119.9933333,114.3733333,113.4366667,111.5633333,0,1319544322,198692651.4,1
1/29/2015,116.32,119.19,115.56,118.9,84436432,AAPL,111.291,0.451150356,-12.08,256.2054208,-1.436354631,-0.575615397,266.6505126,70945211.46,-8757845.991,96,36,60,3.88,117.8833333,120.2066667,121.5133333,123.8366667,116.5766667,114.2533333,112.9466667,0.920110193,1403980754,201321450.2,1
1/30/2015,118.4,120,116.85,117.16,83745461,AAPL,112.325,0.454421596,-11.17,346.407767,-13.52380952,-0.241221599,202.3201077,-67262227.41,-11417136.06,96,32,64,3.15,118.0033333,119.1566667,121.1533333,122.3066667,116.0066667,114.8533333,112.8566667,0.098412698,1320235293,200095906.9,-1
2/2/2015,118.05,119.17,116.08,118.63,62739100,AAPL,113.589,0.458601306,-9.91,205.8635394,-6.523809524,0.198549075,159.8429138,40810870.87,-9043135.74,96,28,68,3.09,117.96,119.84,121.05,122.93,116.75,114.87,113.66,0.825242718,1382974393,200883090.9,1
2/3/2015,118.5,119.09,117.61,118.65,51915749,AAPL,114.582,0.461674452,-9.1,217.7935943,-6.428571429,1.078119153,135.6792424,21046925.27,-7675405.694,92,24,68,1.48,118.45,119.29,119.93,120.77,117.81,116.97,116.33,0.702702703,1434890142,200891843.5,1
2/4/2015,118.5,120.51,118.309,119.56,70149743,AAPL,115.583,0.46476639,-7.16,197.4385246,-4.416550442,2.314651892,124.5781122,9593399.656,-6890459.996,88,20,68,2.201,119.4596667,120.6103333,121.6606667,122.8113333,118.4093333,117.2586667,116.2083333,0.56837801,1505039885,201429865.1,1
2/5/2015,120.02,120.23,119.25,119.94,42246245,AAPL,116.337,0.466860815,-6.96,149.7713415,-2.649930265,3.282770552,107.6676421,17243365.31,-5793467.937,96,16,80,0.98,119.8066667,120.3633333,120.7866667,121.3433333,119.3833333,118.8266667,118.4033333,0.704081633,1547286130,201564137.2,1
2/6/2015,120.02,120.25,118.45,118.93,43706567,AAPL,116.932,0.468303001,-5.83,151.8547141,-7.345420735,4.111376317,85.80379611,-20396397.93,-6457237.482,92,12,80,1.8,119.21,119.97,121.01,121.77,118.17,117.41,116.37,0.266666667,1503579563,201196089.6,-1
2/9/2015,118.55,119.84,118.43,119.72,38889797,AAPL,117.594,0.470005817,-10.58,161,-3.672710367,4.500449398,80.11628824,32270257.09,-4696896.82,88,8,80,1.41,119.33,120.23,120.74,121.64,118.82,117.92,117.41,0.914893617,1542469360,201454417.5,1
2/10/2015,120.17,122.15,120.16,122.02,62008506,AAPL,118.882,0.474184241,-6.71,153.8091419,-0.561555076,4.84976558,97.80604282,53906892.15,-2033088.23,84,4,80,2.43,121.4433333,122.7266667,123.4333333,124.7166667,120.7366667,119.4533333,118.7466667,0.934673367,1604477866,202645693.5,1
2/11/2015,122.77,124.92,122.5,124.88,73561797,AAPL,119.839,0.477055501,-5.98,153.7660256,-0.154320988,5.114721727,114.3262416,71130002.06,1292506.783,96,0,96,2.9,124.1,125.7,126.52,128.12,123.28,121.68,120.86,0.983471074,1678039663,204369892.3,1
2/12/2015,126.06,127.48,125.57,126.46,74474466,AAPL,120.595,0.479130506,-9.3,149.7774481,-3.581460674,6.048829995,121.4218398,-5068942.712,1003349.988,96,28,68,2.6,126.5033333,127.4366667,128.4133333,129.3466667,125.5266667,124.5933333,123.6166667,0.465968586,1752514129,205312154.1,1
2/13/2015,127.28,127.28,125.65,127.08,54272219,AAPL,121.587,0.482121587,-8.45,147.9971388,-1.404494382,6.335994979,102.4876063,40953883.05,2819283.309,96,24,72,1.63,126.67,127.69,128.3,129.32,126.06,125.04,124.43,0.877300613,1806786348,205578236.5,1
2/17/2015,127.49,128.88,126.92,127.83,63152405,AAPL,122.507,0.484817114,-9.18,114.7137507,-3.514056225,6.452214585,96.6532884,-4510886.071,2486093.792,92,20,72,1.96,127.8766667,128.8333333,129.8366667,130.7933333,126.8733333,125.9166667,124.9133333,0.464285714,1869938753,205950949,1
2/18/2015,127.625,128.78,127.45,128.715,44891737,AAPL,123.5135,0.487839562,-9.155,120.5147333,-0.552208835,6.882945872,82.6602918,40503822.86,4214172.385,96,16,80,1.33,128.315,129.18,129.645,130.51,127.85,126.985,126.52,0.95112782,1914830490,206261746,1
2/19/2015,128.48,129.03,128.33,128.45,37362381,AAPL,124.4025,0.490382112,-8.51,131.5706806,-1.931401931,6.988236603,74.52664842,-24552421.8,2906599.922,92,12,80,0.7,128.6033333,128.8766667,129.3033333,129.5766667,128.1766667,127.9033333,127.4766667,0.171428571,1877468109,206184823.9,-1
2/20/2015,128.62,129.5,128.05,129.495,48948419,AAPL,125.358,0.493174613,-10.565,110.336441,-0.016393443,7.224370019,69.78073964,48610843.7,4984065.549,96,8,88,1.45,129.015,129.98,130.465,131.43,128.53,127.565,127.08,0.996551724,1926416528,206583041.9,1
2/23/2015,130.02,133,129.66,133,70974110,AAPL,126.765,0.497729163,-13.28,108.8726514,0,7.451439681,85.21022288,70974110,7983613.024,96,4,92,3.505,131.8866667,134.1133333,135.2266667,137.4533333,130.7733333,128.5466667,127.4333333,1,1997390638,208504075.6,1
2/24/2015,132.94,133.6,131.17,132.17,69228130,AAPL,128.01,0.501620786,-10.15,115.5695266,-4.132947977,7.478094576,78.48788502,-12250245.23,7063892.194,96,0,96,2.43,132.3133333,133.4566667,134.7433333,135.8866667,131.0266667,129.8833333,128.5966667,0.411522634,1928162508,208072050.4,-1
2/25/2015,131.56,131.6,128.15,128.79,74711746,AAPL,128.687,0.503264608,-3.91,159.4257855,-13.9017341,7.565239644,46.66108303,-46992605.46,4606778.665,96,0,96,4.02,129.5133333,130.8766667,132.9633333,134.3266667,127.4266667,126.0633333,123.9766667,0.185507246,1853450762,206161437.5,-1
2/26/2015,128.785,130.87,126.61,130.415,91287529,AAPL,129.2405,0.504432521,-3.955,152.3627685,-9.205202312,7.815566994,40.17421478,71787141.35,7660431.514,92,0,92,4.26,129.2983333,131.9866667,133.5583333,136.2466667,127.7266667,125.0383333,123.4666667,0.893192488,1944738291,207313252.4,1
2/27/2015,130,130.57,128.24,128.46,62014847,AAPL,129.4405,0.504214681,-1.38,167.4711438,-14.85549133,7.810614991,34.53797901,-50303888.77,5025689.683,88,12,76,2.33,129.09,129.94,131.42,132.27,127.61,126.76,125.28,0.094420601,1882723444,206383612.2,-1
3/2/2015,129.25,130.28,128.3,129.09,48096663,AAPL,129.6415,0.504004845,-1.26,168.6232657,-13.03468208,7.636872335,31.4749479,-9716497.576,4355590.262,84,8,76,1.98,129.2233333,130.1466667,131.2033333,132.1266667,128.1666667,127.2433333,126.1866667,0.398989899,1930820107,206619490.3,1
3/3/2015,128.96,129.52,128.09,129.36,37816283,AAPL,129.7945,0.503612134,-0.645,187.6021798,-12.25433526,7.301963302,25.38549667,29353897.99,5491876.977,80,4,76,1.43,128.99,129.89,130.42,131.32,128.46,127.56,127.03,0.888111888,1968636390,206698585.4,1
3/4/2015,129.1,129.56,128.32,128.54,31666340,AAPL,129.777,0.502560438,-0.09,298.0874317,-14.62427746,6.870833868,20.25065184,-20429896.77,4313614.534,76,0,76,1.24,128.8066667,129.2933333,130.0466667,130.5333333,128.0533333,127.5666667,126.8133333,0.177419355,1936970050,206497855.7,-1
3/5/2015,128.58,128.75,125.76,126.41,56517146,AAPL,129.573,0.500783869,3.085,-18660,-20.78034682,6.024475804,1.155915133,-31944473.83,2665519.608,72,0,72,2.99,126.9733333,128.1866667,129.9633333,131.1766667,125.1966667,123.9833333,122.2066667,0.217391304,1880452904,205561326.1,-1
3/6/2015,128.4,129.37,126.26,126.6,72842060,AAPL,129.2835,0.498690834,6.4,-1854.166667,-20.23121387,5.41593137,1.873242721,-56915178.71,-42693.9518,68,0,68,3.11,127.41,128.56,130.52,131.67,125.45,124.3,122.34,0.109324759,1953294964,205670811,1
3/9/2015,127.96,129.57,125.06,127.14,88528487,AAPL,128.6975,0.495482579,5.03,-1259.42029,-18.67052023,5.05995875,-4.325806146,-6870281.696,-353038.8493,64,4,60,4.51,127.2566667,129.4533333,131.7666667,133.9633333,124.9433333,122.7466667,120.4333333,0.461197339,2041823451,206048420.7,1
